Metal,Mass,MrO,O freq,Exp freq,re,Exp re,MrH,H freq,Exp freq,H re,Exp re
Ag,107.8682,13.93328716,447,490.2,2.027,2.003,0.995396695,1730.819556,1749.9,1.635,1.618
Au,196.96657,14.7979334,594,,1.9,,0.997471123,2233.335882,2305.01,1.551,1.5238
Cd,112.411,14.00640132,613.448782,,2.282,,0.995581495,1304.337952,1337.1,1.81,1.78
Cr,51.9961,12.23507819,927,898.4,1.641,1.615,0.990520412,1666.237502,1581,1.652,1.655
Cu,63.546,12.78173635,657,650.17,1.722,1.7243,0.992223348,1947.975393,1941.26,1.466,1.46263
Fe,55.845,12.43677361,920,965,1.625,1.57,0.991165124,1792.637237,,1.57,
Hf,178.49,14.68373695,914.72583,974.09,1.726,1.72307,0.997210439,1660.805923,,1.817,
Hg,200.59,14.81804331,599.612498,,2.25,,0.997516635,1195.829254,1203.24,1.811,1.7662
Ir,192.217,14.77051345,894,,1.751,,0.997408879,2308.887408,,1.562,
Mn,54.938,12.39121486,912,839.6,1.648,1.76,0.991021223,1728,1548,1.594,1.7311
Ni,58.693,12.57263733,834,,1.636,,0.991588431,,1926.6,1.454,1.475
Pt,195,14.78672986,842,851.11,1.758,1.7272,0.997445717,2371.544519,2294.68,1.537,1.52852
Ru,101,13.81196581,865,863.5,1.752,1.716,0.995085965,,,1.635,
Ta,181,14.70050761,996,1028.69,1.701,1.68746,0.997248963,1861.827739,,1.746,
V,51,12.17910448,1038.868,1011.13,1.621,1.5893,0.990337938,1630.491527,,1.685,
W,184,14.72,1069.136,1059,1.678,,0.997293635,1926.814771,,1.712,
Zn,65,12.83950617,727.472854,,1.715,,0.992395327,1481.953582,1607.6,1.626,1.5949
Zr,91,13.60747664,976.392167,969.7,1.797,1.7116,0.994550368,1630.87371,,1.876,
