Molecule,Frequency (1/cm),re (A),De (kJ/mol),MW 1,MW 2,MR,MR^.5,w*Mr^.5
H2,4401.21,0.74144,436,1,1,0.5,0.707106781,3112.125436
O2,1580.19,1.20752,498.4,16,16,8,2.828427125,4469.452258
N2,2358.57,1.09768,945.42,14,14,7,2.645751311,6240.18967
IBr,268.64,2.46898,177.8,126.9,79.9,49.02954545,7.002110072,1881.04685
ICl,384.29,2.32087,211.3,126.9,35.5,27.7398399,5.266862434,2024.002565
IF,610.24,1.90975,280,126.9,19,16.52570254,4.065181735,2480.736502
IH,2309.01,1.60916,298.3,126.9,1,0.992181392,0.996083025,2299.965664
I2,214.5,2.666,151,126.9,126.9,63.45,7.965550828,1708.610653
CN,2068.59,1.1718,808,12,14,6.461538462,2.541955637,5258.264012
CO,2169.81358,1.128323,1074.82,12,16,6.857142857,2.618614683,5681.9057
CS,1285.08,1.534941,740.1,12,32,8.727272727,2.954195784,3796.377917
F2,916.64,1.41193,159,19,19,9.5,3.082207001,2825.274226
SO,1149.2,1.481087,521.7,32,16,10.66666667,3.265986324,3753.271483
S2,725.65,1.8892,417.6,32,32,16,4,2902.6
PO,1233.34,1.4759,595.4,31,16,10.55319149,3.248567606,4006.588371
P2,780.77,1.8934,489.07,31,31,15.5,3.937003937,3073.894564
OH,3737.76,0.96966,428.19,16,1,0.941176471,0.9701425,3626.159831
NH,3282.2,1.0362,356,14,1,0.933333333,0.966091783,3170.90645
AlO,979.23,1.6179,485,27,16,10.04651163,3.169623263,3103.790188
AuH,2305.01,1.5238,298,197,1,0.994949495,0.997471551,2299.1819
CuF,622.6,1.74493,297,63.5,19,14.62424242,3.824165585,2380.925493
CuH,1941.26,1.4626,280,63.5,1,0.984496124,0.992217781,1926.152689
FH,4138.32,0.9168,566.1,19,1,0.95,0.974679434,4033.535397
PbO,721,1.921813,381,207.2,16,14.85304659,3.853965048,2778.7088
PbS,429.4,2.286863,322,207.2,32,27.71906355,5.264889699,2260.743637
BO,1885.69,1.2045,787,10.811,16,6.45168028,2.540015803,4789.6824
BF,1402.1,1.2625,778,10.811,19,6.890376036,2.624952578,3680.446009
