Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
100,Ag,CH,107.868,4,2.229698471,1,13.01894,0.353012943,0.935618438,10.9496658,324.510389,353.8473812,-175.26018,-165.15468,-3.8771893
100,Al,CH,26.98154,2,1.958327598,2,13.01894,0.197576021,0.980287568,8.188718457,351.429178,443.1162325,-231.49517,-221.15238,-4.1144793
100,Au,CH,196.9665,2,1.979396407,2,13.01894,0.539822445,0.841778907,11.76699272,486.999875,512.2523036,-216.63984,-206.45846,-3.9530693
100,Cr,CH,51.996,4,2.070749915,1,13.01894,0.385146899,0.922855279,11.06415849,490.296769,531.8481463,-554.66021,-546.50606,-1.9258393
100,Cu,CH,63.546,4,1.986083742,1,13.01894,0.414875161,0.909878344,10.43847031,406.673888,454.1670997,-234.941,-223.2886,-5.4240893
100,Ir,CH,192.22,2,1.927221532,2,13.01894,0.691554222,0.722324552,12.19164861,704.28777,727.7911015,-539.16309,-526.30636,-6.6284193
100,Mo,CH,95.94,2,2.011286585,2,13.01894,0.717459974,0.696599731,11.57799439,639.323218,677.9405667,-643.07033,-630.21417,-6.6278493
100,Ni,CH,58.6934,4,1.924257395,1,13.01894,0.420021248,0.907514271,10.33186296,434.356449,487.5787483,-330.57334,-317.50829,-6.8367393
100,Pd,CH,106.42,4,2.072708995,1,13.01894,0.361565984,0.932346523,11.00452044,387.892358,421.9038374,-325.90691,-313.27311,-6.4054893
100,Pt,CH,195.08,2,1.896531574,2,13.01894,0.621519338,0.783398821,12.02695529,643.27542,669.2785734,-385.75132,-373.149,-6.3740093
100,Rh,CH,102.9055,4,2.09101826,1,13.01894,0.430159554,0.902752878,11.40197572,448.852595,479.624652,-441.18633,-427.9503,-7.0077193
100,V,CH,50.9415,4,2.116136238,1,13.01894,0.291813884,0.956475121,10.73991291,483.74209,532.6001808,-541.31123,-526.72592,-8.3569993
