Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,NN2min,Adsorbate mass,cos(alpha),sin(alpha),NN2cosa,NN2sina,Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads,vibGibbs,vibEntropy,vibEnthalpy,Gvibxyz,GvibxyzCF,Xfreqeuncy,Yfrequency,HorC
100,Ag,CHH,107.868,1,2.038696505,1,4.655342721,14.02688,1,0,0.89671092,0.442616681,12.42076099,469.831992,499.2855809,-178.8161,-165.14913,-1.529325,,,,-0.036964246,nan,105.062028,34.322721,nan
100,Al,CHH,26.98154,1,1.901927294,1,4.282792886,14.02688,1,0,0.881716492,0.471779639,9.247609561,573.375002,706.1623402,-236.02101,-221.15234,-2.731025,,,,0.018459239,nan,191.161599,117.262226,nan
100,Au,CHH,196.9665,1,1.955996336,1,4.702957298,14.02688,1,0,0.902188587,0.431341807,13.09800451,596.86682,617.6684379,-220.55306,-206.44663,-1.968785,,,,-0.012119275,nan,92.468122,71.616958,nan
100,Cr,CHH,51.996,1,1.877369631,1,3.846514299,14.02688,1,0,0.856379136,0.516347534,11.06957806,578.343494,651.0297901,-562.30511,-546.47936,-3.688105,,,,-0.014583415,nan,132.719347,47.385926,nan
100,Cu,CHH,63.546,1,1.835573118,1,4.060406265,14.02688,1,0,0.89823158,0.439522502,11.50461913,573.809048,633.5951003,-237.81077,-223.28368,-2.389445,,,,-0.010337336,nan,137.170317,54.663684,nan
100,Ir,CHH,192.22,1,1.893565782,1,4.313267827,14.02688,1,0,0.89659774,0.442845901,13.07796298,719.30849,744.9475143,-542.38882,-526.33329,-3.917885,,,,0.009939314,nan,82.144205,136.413655,nan
100,Ni,CHH,58.6934,1,1.765623576,1,3.929049136,14.02688,1,0,0.895211042,0.445642446,11.33547903,635.288343,706.6941372,-332.74892,-317.52081,-3.090465,,,,-0.025350955,nan,150.167835,23.555337,nan
100,Pd,CHH,106.42,1,1.864482428,1,4.352754673,14.02688,1,0,0.893927787,0.448211012,12.40040135,631.918341,672.0841148,-328.25137,-313.27466,-2.839065,,,,0.009873405,nan,115.997041,120.706235,nan
100,Pt,CHH,195.08,1,1.854060334,1,4.542473771,14.02688,1,0,0.905510901,0.424322999,13.08925845,734.433242,760.2831143,-388.86646,-373.14803,-3.580785,,,,-0.004225162,nan,63.39175,99.05057,nan
100,Rh,CHH,102.9055,1,1.856562025,1,4.256181822,14.02688,1,0,0.895410905,0.445240734,12.35233796,667.175977,710.9619499,-443.59089,-428.00014,-3.453105,,,,0.000393902,nan,93.877368,94.898065,nan
100,V,CHH,50.9415,1,1.920418154,1,4.194553642,14.02688,1,0,0.869701565,0.493577945,11.01473349,577.50733,651.7049878,-542.91499,-526.71874,-4.058605,,,,-0.008942642,nan,86.542841,91.084282,nan
100,W,CHH,183.85,1,1.956781096,1,4.425214071,14.02688,1,0,0.865038074,0.50170622,13.0376608,669.346484,694.2752577,-765.22651,-748.09073,-4.998135,,,,-0.032022332,nan,36.381847,69.685982,nan
110,Ag,CHH,107.868,1,2.03506065,1,4.30512069,14.02688,1,0,0.809654724,0.58690649,12.42302157,475.793186,505.5744746,-167.15031,-153.46929,-1.543375,,,,-0.033284061,nan,55.774488,73.571943,nan
110,Al,CHH,26.98154,1,1.892480026,1,4.207075943,14.02688,1,0,0.81870735,0.574211002,9.246325768,562.050241,692.2629423,-228.11566,-213.62967,-2.348345,,,,-0.034320932,nan,37.141603,83.022741,nan
110,Au,CHH,196.9665,1,1.948849128,1,4.330236496,14.02688,1,0,0.825457342,0.564464505,13.09923298,601.568493,622.5047787,-207.79652,-193.56448,-2.094395,,,,-0.01617826,nan,59.462668,94.007114,nan
110,Cr,CHH,51.996,1,1.874655312,1,4.232990555,14.02688,1,0,0.941399393,0.337293912,11.0622948,602.3199,678.2427168,-582.72795,-565.41385,-5.176455,,,,,,0,173.542166,nan
110,Cu,CHH,63.546,1,1.83830986,1,3.792782683,14.02688,1,0,0.815854345,0.578257458,11.50808702,559.678346,617.8989776,-223.97903,-209.59174,-2.249645,,,,-0.031621966,nan,54.277498,63.600893,nan
110,Fe,CHH,55.847,1,1.816846453,1,4.070598449,14.02688,1,0,0.936467161,0.350755265,11.22644038,613.772515,686.0676479,-503.39754,-461.36889,-29.891005,,,,0.010991854,nan,110.979669,137.870065,nan
110,Ir,CHH,192.22,1,1.879393153,1,3.979128309,14.02688,1,0,0.810789252,0.585338183,13.07928341,727.869826,753.7759584,-516.14401,-499.84774,-4.158625,0.564014602,0.000404373,0.684517613,0.015099937,nan,89.902683,148.392086,nan
110,Mo,CHH,95.94,1,1.992907527,1,4.640446693,14.02688,1,0,0.939590543,0.342300469,12.24622552,599.191852,641.2764825,-675.35103,-659.87552,-3.337865,,,,0.001569173,nan,80.599091,137.569672,nan
110,Ni,CHH,58.6934,1,1.75212439,1,4.05165055,14.02688,1,0,0.849602777,0.527423094,11.33146439,633.032623,704.3096087,-316.2697,-301.47663,-2.655425,,,,-0.029595084,nan,54.354787,56.41139,nan
110,Pd,CHH,106.42,1,1.851242537,1,3.993134673,14.02688,1,0,0.799907088,0.600123862,12.40237985,645.563021,686.5413059,-311.8697,-296.80343,-2.928625,,,,-0.022662631,nan,41.925092,92.307195,nan
110,Pt,CHH,195.08,1,1.857215454,1,3.964461158,14.02688,1,0,0.793586407,0.60845757,13.09170372,730.419354,756.0573312,-369.11559,-353.25825,-3.719695,0.555336382,0.000452451,0.690166842,0.003818437,nan,61.27708,140.29936,nan
110,Rh,CHH,102.9055,1,1.845354102,1,3.951716179,14.02688,1,0,0.812943695,0.582342295,12.35423794,672.103975,716.1582908,-422.85695,-407.18307,-3.536235,0.51473871,0.000516521,0.668661984,0.001037586,nan,73.683101,122.093132,nan
110,V,CHH,50.9415,1,1.928472869,1,4.274702324,14.02688,1,0,0.935769663,0.35261188,11.01571466,584.345046,659.3918399,-562.2919,-546.6131,-3.541155,,,,0.027511248,nan,134.421327,226.109864,nan
110,W,CHH,183.85,1,1.998513015,1,4.654985014,14.02688,1,0,0.939586205,0.342312378,13.03760752,636.192415,659.8877652,-805.07516,-789.29792,-3.639595,,,,-0.002905222,nan,81.17383,104.742521,nan
111,Ag,CHH,107.868,1,2.044453801,1,4.703342642,14.02688,0.999992445,0.003887077,0.933555999,0.358431578,12.42103332,474.645727,504.3955576,-182.43856,-168.80345,-1.497465,,,,-0.026872756,0.369188115,114.475065,45.870022,2744.488287
111,Al,CHH,26.98154,1,2.023226075,1,3.938150668,14.02688,0.679272261,0.733886364,0.966385667,0.257096757,6.721116895,461.501238,666.7034259,-240.87856,-225.00801,-3.732905,0.59584544,0.000250172,0.670396737,0.038821887,0.108300206,411.018044,145.495269,575.211204
111,Au,CHH,196.9665,1,1.976094005,1,4.747917331,14.02688,0.999945573,0.010433131,0.936725692,0.350064248,13.09820943,577.032941,597.1386501,-225.40475,-211.41916,-1.847945,,,,-0.010812903,0.222466895,95.283427,77.074868,1507.960986
111,Cu,CHH,63.546,1,1.844664775,1,4.173091352,14.02688,0.999980254,0.006284194,0.937928628,0.346828328,11.50389337,564.899852,623.777317,-242.86554,-228.3984,-2.329495,,,,-0.000129929,0.452249904,133.718081,85.232595,3346.204779
111,Ir,CHH,192.22,1,1.883098685,1,4.605283273,14.02688,0.999998107,0.001945567,0.942574656,0.333995537,13.07656731,730.496715,756.5749038,-558.40936,-542.68454,-3.587175,0.559384417,0.000459712,0.696378733,0.010021086,0.600837721,74.838921,145.750323,4473.234806
111,Ni,CHH,58.6934,1,1.769610658,1,4.078521469,14.02688,0.99998497,0.005482732,0.937866757,0.346995599,11.33386638,638.026944,709.7910455,-339.6832,-324.48469,-3.060865,,,,-0.005985139,0.565148846,140.022816,53.345571,4210.177857
111,Pd,CHH,106.42,1,1.869169671,1,4.448864552,14.02688,0.995907178,0.090381928,0.942113184,0.335295016,12.38855525,636.594704,677.3813436,-334.21259,-319.10114,-2.973805,,,,0.004078365,0.136757098,115.868016,95.742503,781.9597824
111,Pt,CHH,195.08,1,1.866622222,1,4.569099284,14.02688,0.999476418,0.032355677,0.938548709,0.34514681,13.08860909,726.666913,752.2620936,-398.68731,-383.16091,-3.388755,,,,0.008644866,0.180487802,90.392371,116.082057,1087.336204
111,Rh,CHH,102.9055,1,1.854517142,1,4.515175519,14.02688,0.999995074,0.003138895,0.941331302,0.337483894,12.35048647,671.166637,715.2681202,-454.30771,-438.82189,-3.348175,,,,-0.012579008,0.591752672,47.013237,113.455958,4421.832248
100,Ag,CHH,107.868,4,2.406242548,1,3.490720468,14.02688,0.506740744,0.862098497,1,0,12.57110967,278.755552,294.453865,-179.29914,-165.14913,-2.012365,,,,0.010307029,0.027672789,166.225313,244.48143,266.8173238
100,Cr,CHH,51.996,4,2.181364396,1,2.193452501,14.02688,0.367799982,0.929904927,1,0,9.535078527,390.272937,473.35486,-561.98861,-546.47936,-3.371605,0.487984782,0.000332192,0.5869779,0.054862056,0.078865335,370.510638,351.893504,467.440125
100,Cu,CHH,63.546,4,2.120467467,1,3.044287093,14.02688,0.537873766,0.843025392,1,0,11.93359722,362.745468,393.2754605,-238.63955,-223.28368,-3.218225,0.497491631,0.00042266,0.623444303,0.039917731,0.051847776,298.789706,290.174522,342.9252125
100,Ni,CHH,58.6934,4,2.022030187,1,2.834179937,14.02688,0.499972561,0.866041245,1,0,11.54991606,357.719076,394.2150742,-333.84021,-317.52081,-4.181755,,,,0.044038975,0.054083613,301.021745,334.781215,354.8770991
100,Pd,CHH,106.42,4,2.193314903,1,3.088982016,14.02688,0.456879034,0.889528835,1,0,12.31259134,317.023687,338.3744172,-328.88885,-313.27466,-3.476545,,,,0.029516724,0.043310453,220.920908,315.703312,322.9281065
100,Rh,CHH,102.9055,4,2.180857392,1,3.00595603,14.02688,0.484246444,0.874931644,1,0,12.43204133,343.402404,364.764571,-444.1925,-428.00014,-4.054715,,,,0.031342576,0.048513913,230.447687,297.109702,338.0710999
100,V,CHH,50.9415,4,2.162518521,1,2.224973253,14.02688,0.325344709,0.945595485,1,0,9.379749451,433.238258,529.7997181,-544.93622,-526.71874,-6.079835,0.552873882,0.000162982,0.601442435,0.071075997,0.092934208,421.241462,453.838103,534.0582746
110,Ag,CHH,107.868,2,2.23664637,2,2.618056129,14.02688,0.753340046,0.657631185,0.222213598,0.974998009,12.6113177,348.354135,367.3848791,-167.20395,-153.46929,-1.597015,,,,0.005602689,0.03349547,111.108548,238.105613,262.2008861
110,Al,CHH,26.98154,2,2.081316698,2,2.427666139,14.02688,0.700047403,0.714096376,0.135766895,0.990740809,9.19389286,396.576426,489.8439135,-227.71086,-213.62967,-1.943545,,,,0.023551159,0.069691202,130.896931,327.836616,401.8594436
110,Au,CHH,196.9665,2,2.175418459,2,3.657288452,14.02688,0.692602962,0.721319026,0.903244943,0.429125359,13.11850775,355.963634,368.0814698,-206.94377,-193.56448,-1.241645,,,,-0.002881298,0.035963101,368.210287,47.158045,273.2485777
110,Cr,CHH,51.996,3,2.01436115,1,3.380315355,14.02688,0.697201057,0.716875642,0.999999959,0.000285571,11.89000036,496.60588,539.3882287,-584.18892,-565.41385,-6.637425,,,,0.04802958,0.075119476,401.47985,190.802625,412.7919635
110,Cu,CHH,63.546,2,2.079946281,2,3.667292167,14.02688,0.31323145,0.949676818,0.872692428,0.488270342,7.382233672,382.741909,527.5852746,-224.24556,-209.59174,-2.516175,,,,0.033671726,0.087371335,319.112356,204.859308,497.1701492
110,Fe,CHH,55.847,3,1.960946798,1,3.310083278,14.02688,0.668472074,0.743737243,0.999999421,0.001075735,11.86957168,109.916,119.4879011,-505.40926,-461.36889,-31.902725,,,,-0.105315918,-0.054268024,47.296381,27.882025,93.34917504
110,Ir,CHH,192.22,2,2.138898145,2,2.986088684,14.02688,0.578359564,0.815781965,0.884201697,0.467105297,12.91986277,526.929652,549.0403071,-516.34737,-499.84774,-4.361985,0.443638531,0.000261815,0.521659438,0.075042033,0.083474746,418.92037,416.78245,461.2003077
110,Mo,CHH,95.94,3,2.171948128,1,3.633057261,14.02688,0.674220659,0.738529961,0.999999999,4.94E-05,12.70676116,472.268747,496.1949203,-676.51916,-659.87552,-4.505995,,,,0.017112527,0.066295842,362.244168,72.172839,378.8852181
110,Ni,CHH,58.6934,2,1.931162236,2,1.973743085,14.02688,0.209368252,0.977836865,0.780078555,0.625681587,6.701631477,450.659251,651.9864353,-317.30926,-301.47663,-3.694985,,,,0.059097152,0.107569555,466.987518,265.85779,577.0678964
110,Pd,CHH,106.42,2,2.03616182,2,2.205649022,14.02688,0.73758157,0.675258045,0.105469334,0.994422556,12.5177562,463.460413,490.6027075,-312.2149,-296.80343,-3.273825,,,,0.049539718,0.061866609,270.428111,334.685959,355.920159
110,Pt,CHH,195.08,2,2.050123789,2,2.19767739,14.02688,0.730457702,0.682957938,0.088393281,0.996085653,13.14413845,509.023538,525.8384553,-368.38209,-353.25825,-2.986195,0.412265294,0.000458205,0.548810294,-0.017703002,0.067609789,15.934516,377.759818,373.8605169
110,Rh,CHH,102.9055,2,2.069158104,2,2.081799885,14.02688,0.757785773,0.652503427,0.152480234,0.98830652,12.54057146,464.124619,490.8586887,-422.92309,-407.18307,-3.602375,0.482404036,0.000237122,0.553066494,0.060820246,0.06080342,414.313105,312.824683,349.8787803
110,V,CHH,50.9415,3,2.027005634,1,3.381288798,14.02688,0.681540932,0.731779993,0.999999989,0.000146763,11.77229627,490.572277,535.4919556,-563.91098,-546.6131,-5.160235,0.53946515,0.000318461,0.634366527,0.02972481,0.075273769,222.090614,191.027058,415.4624348
110,W,CHH,183.85,3,2.177407964,1,3.630280287,14.02688,0.667268894,0.744816906,0.999999865,0.000520277,13.29208002,491.356808,504.7554827,-806.21907,-789.29792,-4.783505,,,,-0.006043026,0.067667912,372.819156,26.834714,383.2018881
111,Ag,CHH,107.868,3,2.172233666,3,4.299199134,14.02688,0.653647258,0.756799354,0.928112845,0.372299003,12.7724677,379.059465,397.2377191,-182.92389,-168.80345,-1.982795,,,,0.011424074,0.045771261,115.129339,256.977024,309.0133422
