Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,NN2min,Adsorbate mass,cos(alpha),sin(alpha),NN2cosa,NN2sina,Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads,vibGibbs,vibEntropy,vibEnthalpy,Gvibxyz,GvibxyzCF,Xfreqeuncy,Yfrequency,HorC
100,Ag,CHH,107.868,4,2.406242548,1,3.490720468,14.02688,0.506740744,0.862098497,1,0,12.57110967,278.755552,294.453865,-179.3138,-165.15468,-2.021475,0.511351208,0.000389418,0.627397762,,,0,244.48143,235.8529052
100,Al,CHH,26.98154,2,2.025820074,2,3.837481589,14.02688,0.746415779,0.665479891,0.929818275,0.368018987,9.662302772,455.756967,549.1279331,-235.94148,-221.15238,-2.651455,0.522010778,0.000424059,0.648380298,,,0,452.568886,593.7797138
100,Au,CHH,196.9665,2,2.182423672,2,4.095172869,14.02688,0.741377633,0.671088076,0.931893703,0.362731479,13.20090047,365.4919,376.7528264,-219.89909,-206.45846,-1.302985,0.531953401,0.000388968,0.64786588,,,0,0,547.5261733
100,Cr,CHH,51.996,4,2.181364396,1,2.193452501,14.02688,0.367799982,0.929904927,1,0,9.535078527,390.272937,473.35486,-563.14472,-546.50606,-4.501015,0.487984782,0.000332192,0.5869779,,,0,351.893504,248.5512005
100,Cu,CHH,63.546,4,2.120467467,1,3.044287093,14.02688,0.537873766,0.843025392,1,0,11.93359722,362.745468,393.2754605,-238.64326,-223.2886,-3.217015,0.497491631,0.00042266,0.623444303,,,0,0,332.2915369
100,Ir,CHH,192.22,2,2.023893435,2,3.676802723,14.02688,0.722437658,0.691436063,0.928256411,0.371940902,13.14706526,516.524038,533.5273274,-541.92097,-526.30636,-3.476965,0.534287026,0.000354862,0.640035845,,,0,579.824632,735.3279492
100,Mo,CHH,95.94,2,2.105071067,2,3.557148131,14.02688,0.754017847,0.656853931,0.895597352,0.444865578,12.50691051,508.234252,538.23192,-646.81864,-630.21417,-4.466825,0.499141564,0.000421182,0.624653682,,,0,544.082156,757.5121493
100,Ni,CHH,58.6934,4,2.022030187,1,2.834179937,14.02688,0.499972561,0.866041245,1,0,11.54991606,357.719076,394.2150742,-333.8394,-317.50829,-4.193465,0.523333565,0.000284798,0.608203334,,,0,334.781215,301.9264427
100,Pd,CHH,106.42,4,2.193314903,1,3.088982016,14.02688,0.456879034,0.889528835,1,0,12.31259134,317.023687,338.3744172,-328.89344,-313.27311,-3.482685,0.505119921,0.000330798,0.603697776,,,0,315.703312,238.0696242
100,Pt,CHH,195.08,2,2.00548708,2,3.743842029,14.02688,0.687844631,0.72585795,0.930469337,0.366369777,13.07369087,478.151088,495.2752014,-388.32756,-373.149,-3.040915,0.550340429,0.000311112,0.643051722,,,0,610.317732,623.5091808
100,Rh,CHH,102.9055,4,2.180857392,1,3.00595603,14.02688,0.484246444,0.874931644,1,0,12.43204133,343.402404,364.764571,-444.15113,-427.9503,-4.063185,0.506199838,0.000314209,0.599834099,,,0,297.109702,275.6475216
100,V,CHH,50.9415,4,2.162518521,1,2.224973253,14.02688,0.325344709,0.945595485,1,0,9.379749451,433.238258,529.7997181,-544.91554,-526.72592,-6.051975,0.552873882,0.000162982,0.601442435,,,0,453.838103,252.0977993
100,W,CHH,183.85,2,2.113126928,2,3.574074428,14.02688,0.754127785,0.656727709,0.89349636,0.449070434,13.19014493,540.409968,557.2872513,-765.50266,-748.07192,-5.293095,0.525809303,0.000357183,0.632249788,,,0,541.15317,835.6535309
110,Ag,CHH,107.868,2,2.23664637,2,2.618056129,14.02688,0.753340046,0.657631185,0.222213598,0.974998009,12.6113177,348.354135,367.3848791,-167.21028,-153.48222,-1.590415,0.515949344,0.000377516,0.628449243,,,0,238.105613,522.4111287
110,Al,CHH,26.98154,2,2.081316698,2,2.427666139,14.02688,0.700047403,0.714096376,0.135766895,0.990740809,9.19389286,396.576426,489.8439135,-227.70965,-213.62586,-1.946145,0.536556287,0.000302968,0.62684064,,,0,0,478.6253996
110,Au,CHH,196.9665,2,2.175418459,2,3.657288452,14.02688,0.692602962,0.721319026,0.903244943,0.429125359,13.11850775,355.963634,368.0814698,-206.94134,-193.5769,-1.226795,0.516793822,0.000429807,0.644876224,,,0,0,469.8618181
110,Cr,CHH,51.996,3,2.01436115,1,3.380315355,14.02688,0.697201057,0.716875642,0.999999959,0.000285571,11.89000036,496.60588,539.3882287,-583.08927,-565.39807,-5.553555,0.544053357,0.000303135,0.634387722,,,0,190.802625,639.9399084
110,Cu,CHH,63.546,2,2.079946281,2,3.667292167,14.02688,0.31323145,0.949676818,0.872692428,0.488270342,7.382233672,382.741909,527.5852746,-224.25362,-209.59645,-2.519525,0.541598671,0.000276324,0.623943108,,,0,0,233.2589957
110,Fe,CHH,55.847,3,1.960946798,1,3.310083278,14.02688,0.668472074,0.743737243,0.999999421,0.001075735,11.86957168,109.916,119.4879011,-506.82178,-490.29765,-4.386485,0.456643467,0.000868887,0.715571773,,,0,0,133.3847667
110,Ir,CHH,192.22,2,1.10236118,2,2.986088684,14.02688,0.551147079,0.834408112,0.884201697,0.467105297,12.53138934,2175.033069,2301.159879,-516.3315,-499.827,-4.366855,0.443638531,0.000261815,0.521659438,,,0,0,2045.772074
