Surface,Distance,Veritical,Horizontal,cos(alpha),sin(alpha),NN2,NN2vertical,NN2horizontal,NN2cos(alpha),NN2sin(alpha),NN2/NN
Ag100,2.108605611,0.631082914,2.01195228,0.299289213,0.954162443,2.809576994,2.809576994,1.78E-06,1,6.34E-07,1
Ag110,1.829864828,1.829864828,0,1,0,4.191513556,3.370007179,2.492355813,0.804007224,0.594619528,0.804007224
Ag110bridge,1.993756096,0.129504492,1.989545666,0.064955033,0.997888192,2.122502537,1.527979727,1.473192104,0.719895359,0.694082612,0.719895359
Ag111,1.942509618,1.002936866,1.663568833,0.516309858,0.856401851,3.853450311,3.478661847,1.657706564,0.90273951,0.430187606,0.90273951
Al111,1.916456441,0.841945296,1.721607798,0.439323993,0.898328687,3.535828932,3.141257663,1.623140947,0.888407704,0.459055282,0.888407704
Au111,1.896973179,0.79282596,1.723349715,0.41794263,0.908473422,3.719991244,3.326493999,1.665164416,0.894220922,0.447625897,0.894220922
Co0001,1.73255036,0.976576201,1.431093874,0.563663962,0.8260042,3.275491474,2.951990396,1.419365033,0.901235866,0.433328874,0.901235866
Cu111,1.752453524,0.980307259,1.452615239,0.559391302,0.828903716,3.444386663,3.122780231,1.453287003,0.906628824,0.421929111,0.906628824
Fe110,1.779821153,0.96918755,1.492795642,0.544542101,0.83873351,3.014711782,2.975958978,0.481824957,0.987145437,0.159824551,0.987145437
Ir111,1.90078094,1.021140153,1.603197109,0.537221377,0.84344128,3.594710307,3.23683983,1.563588854,0.900445253,0.434969364,0.900445253
Ni111,1.707786988,0.926904376,1.434358629,0.54275175,0.839893171,3.296522583,2.976504727,1.416855939,0.902922595,0.429803195,0.902922595
Pd111,1.814939574,0.826053721,1.61605721,0.45514117,0.890419292,3.519446536,3.142942001,1.583799072,0.893021664,0.450013676,0.893021664
Pt111,1.864029464,0.888626306,1.638581439,0.476723316,0.8790534,3.607302592,3.236536137,1.592942504,0.897217812,0.441588268,0.897217812
Re0001,1.92779708,1.041359682,1.622335229,0.54018117,0.841548753,3.529073144,3.151184288,1.588834427,0.892921218,0.450212949,0.892921218
Rh111,1.863519035,0.996730567,1.574557515,0.53486471,0.844937715,3.559238694,3.207074942,1.543648403,0.901056439,0.433701849,0.901056439
Ru0001,1.90837758,1.072089674,1.578774436,0.56178069,0.8272862,3.536158008,3.17491524,1.557024943,0.897843149,0.440315433,0.897843149
V110,1.889627477,1.048731602,1.571895044,0.554993836,0.83185446,3.111208509,3.046481005,0.631325489,0.979195382,0.202919697,0.979195382
W100,2.148988975,0.830300228,1.982108763,0.38636784,0.92234478,2.468012567,2.468012567,0,1,0,1
W100bridge,1.895238492,1.277251033,1.400199536,0.673926283,0.738798595,3.210840271,2.775308285,1.614669989,0.864355761,0.50288082,0.864355761
