"Surface","Distance","Veritical","Horizontal","cos(alpha)","sin(alpha)","NN2","NN2vertical","NN2horizontal","NN2cos(alpha)","NN2sin(alpha)"
"Ag100","2.1702527552264805","0.32365218843293775","2.1459837563436261","0.14913110357929829","0.98881743205974104","2.4571155588478559","2.4571155588472102","1.7815390304430346e-06","0.99999999999973721","7.2505300942313029e-07"
"Ag110bridge","2.1485661360528776","0.15658663443476328","2.1428525537025607","0.072879597144925673","0.99734074634499581","2.2121954726051123","1.6394071079330104","1.4853124733446759","0.74107696550089297","0.67142008549341758"
"Ag111","2.0959419007311677","1.1710127681593079","1.7383042161970541","0.55870478458911532","0.82936660390760264","3.9611795760387292","3.6001102617580685","1.652316475984736","0.9088480319183766","0.41712738447396785"
"Au111","2.0652409669073122","0.97882578122241881","1.8185489659084164","0.47395233626815247","0.88055049994078138","3.8868169033530662","3.5171735643834481","1.6543384654276014","0.90489818580063919","0.42562809274613433"
"Co0001","1.7759686948173403","1.0213397260795354","1.4529039778674249","0.57508881156521785","0.81809098443419193","3.3830104077120295","3.0710548480204807","1.4189367636148607","0.90778758499222945","0.4194302093721623"
"Cu111","1.8452903850144204","1.0372091503754106","1.5262024057785348","0.56208451461004338","0.82707980173354012","3.4933136523879806","3.1786821879459133","1.4488684626271759","0.90993323367141976","0.41475475917736432"
"Fe110","1.7801306691319747","0.95734695826787686","1.5007837954480638","0.5377958904189305","0.84307507391009351","3.0055377145129496","2.9753798042653408","0.42470221771220623","0.98996588527171558","0.14130656742766232"
"Ir111","1.9807598560306259","1.1761738209473123","1.5937455098542759","0.59379930250824242","0.80461319175161727","3.8128584075096308","3.4777859469244632","1.5629760532687611","0.91212040291734298","0.40992239580425943"
"Ni111","1.7603614352088384","0.9978540627138841","1.4502274484010835","0.5668461275939648","0.82382368722423049","3.4293623981662273","3.1232347305274644","1.4163090326561696","0.91073335737207073","0.41299485683213538"
"Pd111","1.9112372278317828","0.9907427151464816","1.6343979360713523","0.51837767741183916","0.85515178977834538","3.7135646699150366","3.357484479096609","1.586776773924595","0.90411364215542944","0.42729208051219941"
"Pt111","1.9600008260924953","1.0264694360716362","1.669719657635389","0.52370867522440301","0.85189742545373426","3.7696357846866797","3.4147843070717627","1.5966847169578531","0.90586584543354998","0.42356471769607962"
"Re0001","1.9790899947132052","1.0960462578185002","1.6478712959136026","0.5538132478797817","0.83264091088106362","3.6444373758500204","3.2786568778074212","1.5913305326357179","0.89963320526058288","0.43664641987833841"
"Rh111","1.9251092778421659","1.1128219537934996","1.5708828825820225","0.57805651170142902","0.8159967336206535","3.7597021334697343","3.4273140352264484","1.5455997659021148","0.91159190636824916","0.41109633450555289"
"Ru0001","1.9427492827986452","1.0623795863934014","1.6265375465169059","0.54684338107847896","0.83723492316712234","3.6215079687501612","3.2715443903172918","1.5531636326879337","0.90336523308724148","0.42887207375770448"
"V110","1.8675812069805782","0.96808991939664679","1.5970790439516847","0.51836563560296867","0.8551590891909705","3.0760031510363275","3.0078525400406697","0.64390875328442809","0.9778444274438739","0.20933293032144346"
"W100bridge","2.1513933992740681","0.59348792684968288","2.0679133538723753","0.27586211199213495","0.96119721970428051","2.204862350300747","2.204862350300747","0.0","1.0","0.0"
