Surface,Cut,Metal,Notes,Structure,Source,Site,NN,Source,Metal Mass,cos(a),sin(a),Stephen DFT Opt,Stephen DFT Expt,Norskov,v(M-O),v(M-O) Temp (K),v(M-O) Source,v(M-OH2),v(M-OH2) Temp (K),v(M-OH2) Source,v(M-OH),v(M-OH) Temp (K),v(M-OH) Source,OH bend - bent,OH bend - bent Temp (K),OH bend - bent Source,OH bend - straight,OH bend - straight Temp (K),OH bend - straight Source,v(OH) bent,v(OH) bent Temp (K),v(OH) bent Source,v(OH) straight,v(OH) straight Temp (K),v(OH) straight Source,v(M-O2),v(M-O2) Temp (K),v(M-O2) Source,v(O-O) atop/peroxo,v(O-O) atop/peroxo Temp (K), v(O-O) atop/peroxo Source,v(O-O) bridged,v(O-O) bridged Temp (K),v(O-O) bridged Source,v(O-O) superoxo,v(O-O) superoxo Temp (K),v(O-O) superoxo Source,v(M-N),v(M-N) Temp (K),v(M-N) Source,v(M-NH),v(M-NH) Temp (K),v(M-NH) Source,v(M-NH2),v(M-NH2) Temp (K),v(M-NH2) Source,v(M-NH3),v(M-NH3) Temp (K),v(M-NH3) Source,Dband Hammer 2000,v(M-H),parallel (M-H),v(M-H) 2,para (M-H) 2,v(M-H) Temp,Other,v(M-H) Source
Ag(001),1.00,Ag,Ag-H is 576 from DFT (Qin 2005),FCC,85,H,4,88,107.87,0.46,0.89,-1.20,,-3.30,282,100,97,,,,,,,,,,,,,,,,,,,242,300,62,678,100,97,508,300,62,694,300,62,,,,,,,,,,,,,,,,,,,,
Ag(110),110,Ag,Stuve cites 200 as H2O which is probably too low and Nakatsuji calculates 280 for OH in fourfold site,,,,,,,,,,-4.04,,325,113,43,240,100,35,280,255,35,670,190,35,840,190,35,3380,190,35,3610,190,35,242,113,43,,,,629,113,43,983,90,50,,,,,,,,,,,,,,,467,838,,100,838,105
Ag(111),111,Ag,Nakatsuji calculates 277 at the threefold site,FCC,85,H,3,88,107.87,,,,,-2.93,352,785,107,290,,37,339,105,37,700,,28,930,,28,,,,3640,,28,290,105,37,742,105,37,,,,,,,363,300,69,,,,,,,,,,-4.3,701,,854,701,100,854,101
Al(111),111,Al,1655 report as OH bend,FCC,85,H,3,88,26.98,0.42,0.91,-8.15,-8.20,,545,130,42,660,,29,780,135,42,,,,,,,3435,130,42,3745,135,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au(111),111,Au,,FCC,85,H,3,88,196.97,0.44,0.90,-5.64,-4.16,-2.30,395,300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.56,,,,,,,
Cr(100),100,Cr,,BCC,85,H,4,90,52.00,0.62,0.78,-8.01,,,545,300,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,300,61,,,,,,,,,,,,,,,,,,,,
Cr(110),110,Cr,,BCC,85,H,4,91,52.00,,,,-10.79,,570,300,61,,,,,,,,,,,,,,,,,,,,,,1020,120,8,,,,,,,,,,,,,,,,,,,0.16,,,,,,,
Cr(111),111,Cr,,BCC,85,H,3,92,52.00,,,,,,580,300,61,,,,,,,,,,,,,,,,,,,440,300,61,,,,,,,,,,535,100,63,,,,,,,,,,,,,,,,,
Cu(100),100,Cu,,FCC,85,H,4,88,63.55,0.46,0.89,-5.36,-5.69,-4.29,339,,53,,,,,,,,,,920,,28,,,,3620,,28,,,,,,,,,,,,,,,,,,,,,,360,,68,,,,,,,,
Cu(100),100,Cu,ordered O and N,,,,,,,,,,,,287,523,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,523,53,,,,,,,,,,,,,,,,,
Cu(110),110,Cu,,FCC,85,LB,2,91,63.55,,,,,,403,,45,450,130,27,,,,,,,1070,,28,,,,3680,,28,331,,45,,,,653,,45,,,,400,80,76,,,66,430,,68,300,,68,,780,625,940,780,300/100,940,108
Cu(111),111.00,Cu,Cu-O atomic is 483 from DFT (Mavrikakis 2003),,,,,,,,,-4.81,-5.31,-3.84,,,,,,,,,,850,,28,1030,,29,,,,3680,,28,370,100,1,850,100,1,610,100,1,,,,403,85,109,,,,,,,,,,,1040,806,1040,806,100,,106
Fe(100),100.00,Fe,810 specified as a bend,BCC,85,LB,2,92,55.85,0.71,0.70,,,-5.80,570,103,55,,,,810,188,47,,,,,,,3400,188,47,3580,188,47,424,103,55,870,103,55,640,103,55,,,,,,,,,,,,,,,,,,,,,,,
Fe(110),110.00,Fe,,BCC,85,LB,2,92,55.85,0.69,0.72,,-6.29,,500,300,58,,,,,,,960,130,31,1190,130,31,,,,3620,130,31,,,,,,,,,,,,,500,120,78,,,,,,,360,,68,-0.92,,,,,,,
Mo(110),110.00,Mo,,BCC,86,H,4,92,95.94,0.59,0.81,-7.77,-7.87,,610,400,13,,,,,,,,,,,,,,,,,,,435,400,13,1000,400,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo(112),112.00,Mo,,,,,,,,,,-7.91,-7.95,,670,100,16,,,,,,,,,,,,,,,,,,,460,100,16,970,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni(100),1.00,Ni,,FCC,85,H,4,88,58.69,,,,,-4.93,435,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni(110),110.00,Ni,600 specified as O-H bend,FCC,85,H,4,91,58.69,0.46,0.89,,-5.94,,480,300,6,,,,600,,28,850,,28,,,,3560,,28,3710,,29,,,,,,,,,,,,,,,,,,,504,344,71,350,,71,,,,,,,,
Ni(111),111.00,Ni,p(2x2) oxygen and 1x1 H,,,,,,,,,,,,585,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,955,1170,955,80,,99
Ni(111),111.00,Ni,,FCC,85,H,3,88,58.69,0.63,0.77,,-6.11,-4.70,524,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,72,620,285,72,,,,,,,-1.29,,,,,,,
Pd(100),100.00,Pd,370 specified as v(M-O) and 430 as v(M-OH),FCC,87,H,4,88,106.42,0.45,0.89,-4.93,-4.94,-3.50,470,175,32,,,,660,175,32,930,175,32,,,,,,,,,,370,175,32,,,,,,,,,,,,,,,,,,,,,,,,,,,105,500,101
Pd(110),110.00,Pd,,FCC,87,H,4,88,106.42,0.45,0.89,-5.07,-4.99,,,,,500,,28,,,,775,,28,,,,,,,3670,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd(111),111.00,Pd,,FCC,87,H,3,88,106.42,0.59,0.81,-5.02,-5.22,-3.51,485,30,10,,,,,,,855,,28,,,,,,,,,,,,,850,30,10,650,30,10,1035,30,10,,,,,,,,,,,,,-1.83,1000,774,1000,774,,,103
Pt(100),100.00,Pt,,FCC,85,H,4,88,195.08,,,,,-3.43,,,,460,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,300,80,,,,,,,,,,,
Pt(111),111.00,Pt,difficult to disccern v(M-OH) and v(M-OH2) for low frequencies: 538 M-NH from DFT,FCC,85,H,3,88,195.08,0.61,0.79,-4.70,-4.84,-3.46,460,105,19,530,85,20,,,,820,160,21,1020,160,21,3470,160,21,3580,105,21,380,105,19,870,105,19,690,105,19,,,,450,,70,538,0,84,488,300,75,350,,74,-2.25,903,,903,,85,540,100
Rh(100),100.00,Rh,,FCC,87,H,4,88,102.91,0.48,0.88,-5.88,-5.87,-4.66,,,,,,,,,,,,,,,,,,,,,,395,300,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rh(111),111.00,Rh,,FCC,87,H,3,88,102.91,,,,,-4.60,530,,8,,,,,,,,,,1050,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,,,,,,,
Ru(0001),1.00,Ru,v(M-NH2) and v(M-N) switched in each paper,HCP,30,H,3,89,101.07,0.67,0.74,-8.73,-6.72,,556,1200,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,460,79,694,460,79,572,420,67,339,,67,-1.41,1137,823,1137,823,90,685,104
V(110),110.00,V,455 not listed as M-O2 bond in paper,BCC,85,H,4,92,50.94,0.57,0.82,-8.46,-8.72,,615,400,7,,,,,,,,,,,,,,,,,,,455,400,7,1025,400,7,,,,,,,,,,,,,,,,,,,1.06,,,,,,,
