Surface,Cut,Metal,Notes,Structure,Source,Site,NN,Source,Metal Mass,O cos(a),O sin(a),Josh DFT,Stephen DFT Experimental Lattice Constant,Norskov,v(M-O),v(M-O) Temp (K),v(M-O) Source,v(M-OH2),v(M-OH2) Temp (K),v(M-OH2) Source,v(M-OH),v(M-OH) Temp (K),v(M-OH) Source,OH bend - bent,OH bend - bent Temp (K),OH bend - bent Source,OH bend - straight,OH bend - straight Temp (K),OH bend - straight Source,v(OH) bent,v(OH) bent Temp (K),v(OH) bent Source,v(OH) straight,v(OH) straight Temp (K),v(OH) straight Source,v(M-O2),v(M-O2) Temp (K),v(M-O2) Source,v(O-O) atop/peroxo,v(O-O) atop/peroxo Temp (K), v(O-O) atop/peroxo Source,v(O-O) bridged,v(O-O) bridged Temp (K),v(O-O) bridged Source,v(O-O) superoxo,v(O-O) superoxo Temp (K),v(O-O) superoxo Source,v(M-N),v(M-N) Temp (K),v(M-N) Source,v(M-NH),v(M-NH) Temp (K),v(M-NH) Source,v(M-NH2),v(M-NH2) Temp (K),v(M-NH2) Source,v(M-NH3),v(M-NH3) Temp (K),v(M-NH3) Source,Dband Hammer 2000,v(M-H),parallel (M-H),v(M-H) 2,para (M-H) 2,v(M-H) Temp,Other,v(M-H) Source,N cos(a),N sin(a),H cos(a),H sin(a),ONN2/NN,ONN2cos,ONN2sin,HNN2/NN,HNN2cos,HNN2sin,Eads (M-O) v5.4,v(M-O) vasp v5.4,v(M-O) Morse v5.4,v(M-O) Correected v5.4,Eads (M-OH) v5.4,v(M-OH) vasp v5.4,v(M-OH) Morse v5.4,v(M-OH) Correected v5.4,(1/rO)^2,(1/rOH)^2,Eads O2
Ag(001),1.00,Ag,Ag-H is 576 from DFT (Qin 2005),FCC,85,H,4,88,107.87,0.35,0.94,-3.87,,-3.30,282,100,97,,,,,,,,,,,,,,,,,,,242,300,62,678,100,97,508,300,62,694,300,62,,,,,,,,,,,,,,,,,,,,,0.149131104,0.988817432,0.30,0.95,1.31,1.00,0.00,1.33,1.00,0.00,,,,,,,,,,,
Ag(110),110,Ag,Stuve cites 200 as H2O which is probably too low and Nakatsuji calculates 280 for OH in fourfold site,,,LB,2,,,0.16,0.99,-3.65,-4.04,,325,113,43,240,100,35,280,255,35,670,190,35,840,190,35,3380,190,35,3610,190,35,240,100,110,640,100,110,,,,983,90,50,,,,,,,,,,,,,,838,467,,,100,838,105,0.072879597,0.997340746,0.06,1.00,1.05,0.77,0.64,1.06,0.72,0.69,,,,,,,,,,,
Ag(111),111,Ag,Nakatsuji calculates 277 at the threefold site,FCC,85,H,3,88,107.87,0.57,0.82,-3.40,,-2.93,339,105,37,290,,37,339,105,37,700,,28,930,,28,,,,3640,,28,290,105,37,742,105,37,,,,,,,363,300,69,,,,,,,,,,-4.3,854,701,701,,100,854,101,0.558704785,0.829366604,0.52,0.86,1.86,0.91,0.41,1.98,0.90,0.43,-3.48638,364.908482,353.24321,378.9068279,-2.685963679,306.115485,307.745,317.4166597,0.218104812,0.189487686,-0.0087716
Al(111),111,Al,1655 report as OH bend,FCC,85,H,3,88,26.98,0.40,0.92,-7.53,-8.20,,545,130,42,660,,29,780,135,42,,,,,,,3435,130,42,3745,135,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.90,1.88,0.88,0.47,1.84,0.89,0.46,-7.53258,,,,-4.133503679,,,,,,
Au(111),111,Au,,FCC,85,H,3,88,196.97,0.49,0.87,-3.18,-4.16,-2.30,350,500,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.56,,,,,,,,0.473952336,0.8805505,0.42,0.91,1.81,0.90,0.43,1.96,0.89,0.45,-3.28471,332.33631,332.5411004,350.8624973,-2.206923679,282.751602,284.393,279.7543021,0.218813433,0.188543743,
Cr(100),100,Cr,,BCC,85,H,4,90,52.00,,,,,,545,300,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,300,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr(110),110,Cr,,BCC,85,H,4,91,52.00,,,,-10.79,,570,300,61,,,,,,,,,,,,,,,,,,,,,,1020,120,8,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr(111),111,Cr,,BCC,85,H,3,92,52.00,,,,,,580,300,61,,,,,,,,,,,,,,,,,,,440,300,61,,,,,,,,,,535,100,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu(100),100,Cu,,FCC,85,H,4,88,63.55,,,,-5.69,-4.29,339,,53,,,,,,,,,,920,,28,,,,3620,,28,,,,,,,,,,,,,,,,,,,,,,360,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu(100)*,100,Cu,ordered O and N,,,,,,,,,,,,287,523,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,523,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
