"Surface","Distance","Veritical","Horizontal","cos(alpha)","sin(alpha)","NN2","NN2vertical","NN2horizontal","NN2cos(alpha)","NN2sin(alpha)"
"Ag100","2.2531155484957321","0.79368786763847154","2.1086937292164363","0.35226238981323815","0.93590128150519514","2.95904002981597","2.9590400298154336","1.7815390504494414e-06","0.9999999999998187","6.0206655959305822e-07"
"Ag110","2.280434617169476","2.280434617169476","0.0","1.0","0.0","4.3704254453980322","3.5900948558196326","2.4923558132818839","0.82145203039670389","0.57027761814499844"
"Ag110bridge","2.2036757088393166","0.36176015034984843","2.1737792489917922","0.16416215366842188","0.98643336688442651","2.3238712138644186","1.7874004516028883","1.4851185286829729","0.76914780859588994","0.63907092605761717"
"Ag111","2.1513632998374144","1.2346703464265083","1.7618039571820627","0.57390137059594559","0.81892442681122624","4.0035876174913865","3.647388068261634","1.6508404194327877","0.91102991035501701","0.41234027506239268"
"Al111","1.8596028103391817","0.7378218586641232","1.7069685167274766","0.39676314456071854","0.91792102444507195","3.5010482063258737","3.0932746963911946","1.6398140735106466","0.88352816473709417","0.46837803334091382"
"Au111","2.1478672433635566","1.0502324820588846","1.8735915853628824","0.48896526789720124","0.87230325391472563","3.8902295205379138","3.5197864126220679","1.6568009331195224","0.90477602774845434","0.42588770774903573"
"Co0001","1.8666397903896665","1.1585848063436543","1.4635659717196265","0.62067936851479866","0.78406448810035434","3.4890153727173541","3.1890530927836416","1.4153334032888176","0.91402666715678804","0.40565410354913733"
"Cu111","1.8995191614171885","1.1237775897536437","1.5314362452804069","0.59161161023256992","0.80622310971469058","3.5557140632973265","3.2474071383533527","1.448257358932477","0.91329254280416716","0.40730422445427517"
"Fe110","1.8601703861571037","1.0882856979481161","1.5085980595166659","0.58504624417572204","0.81099993352396849","3.1395466047220015","3.1070517471918002","0.4505355962560883","0.98964982476089769","0.14350339491010106"
"Ir111","2.0635295991832332","1.3069234258125242","1.5969049958490864","0.63334367790499257","0.77387065176150527","3.8974531025004904","3.5691634270139581","1.5656350524489022","0.91576815246964449","0.40170722040104528"
"Ni111","1.8426010671535513","1.1170400824753237","1.4654010191135149","0.60623002037056584","0.79528935765638364","3.5077040961807717","3.2091489883460831","1.4161040911460832","0.91488589127008779","0.40371252885554215"
"Pd111","2.0028262742211917","1.1238548320712489","1.6577887082317952","0.56113445611165902","0.82772466567347891","3.7958619800135893","3.4481858029669397","1.5870043602743904","0.90840652824647616","0.41808800441914618"
"Pt111","2.0537451083319529","1.1503479515581816","1.7013431636043683","0.56012206524133445","0.82841008687109929","3.8388367680536537","3.4902591174891064","1.5983613560596319","0.90919706368726871","0.41636606415802996"
"Re0001","2.0485555024815136","1.2307500222375012","1.637630614488407","0.60078920036417593","0.79940749103681419","3.7542019141479668","3.3985902504475725","1.5948718825520005","0.90527636183865134","0.42482314990614028"
"Rh111","2.0142784779071552","1.2718151091857806","1.5619872325364019","0.63139984025803741","0.77545744030354435","3.8611981414957879","3.5384350539129912","1.5454217732160667","0.91640856652392311","0.4002440995212399"
"Ru0001","2.0434600148564392","1.3440099913643344","1.5392744964527671","0.65771288970327912","0.75326871348686852","3.8326163092466969","3.502417376085166","1.5562841313849065","0.91384503260478178","0.4060631187187102"
"V110","1.8922806684851099","1.0704382013486686","1.5604128253176728","0.56568680279634309","0.82462017992652314","3.1550812600830893","3.091091390939404","0.63221180832676105","0.97971847192867545","0.20037893043366867"
"V110bridge","1.8790578678283434","1.1051272634522036","1.5197210935636329","0.58812838197975059","0.80876758485357259","3.150919932627108","3.150919932627108","0.0","1.0","0.0"
"W100","2.2393450451777674","2.2393450451777674","0.0","1.0","0.0","4.3966396186399628","3.7941044044451466","2.2215336379097428","0.86295551456155017","0.50527990251721888"
"W100bridge","1.9480173644245484","1.3625633063641551","1.392189961265899","0.69946158142520531","0.71467020093897216","3.3692328470328543","2.964041405661753","1.6019327461063444","0.87973777421529742","0.47545919763815109"
