Surface,v(M-O),v(M-O) Temp (K),v(M-O) Source,v(M-O2),v(M-O2) Temp (K),v(M-O2) Source,v(O-O) atop/peroxo,v(O-O) atop/peroxo Temp (K), v(O-O) atop/peroxo Source,v(O-O) bridged,v(O-O) bridged Temp (K),v(O-O) bridged Source,v(M-N),v(M-N) Temp (K),v(M-N) Source,v(M-H),parallel (M-H),v(M-H) Temp,Other,v(M-H) Source
Ag(001),282,100,1,242,300,21,678,100,1,508,300,21,,,,,,,,
Ag(110),325,113,2,240,100,22,640,100,22,,,,,,,838,467,100,,31
Ag(111),339,85,3,290,105,3,742,105,3,,,,363,300,23,854,701,100,,32
Cr(110),570,300,4,,,,1020,120,20,,,,,,,,,,,
Cr(111),580,300,4,440,300,4,,,,,,,535,100,24,,,,,
Cu(100)*,287,523,5,,,,,,,,,,324,523,5,,,,,
Cu(110),403,,6,331,,6,,,,653,,6,400,80,25,940,780,300/100,625,33
Fe(100),570,103,7,424,103,7,870,103,7,640,103,7,,,,,,,,
Fe(110),500,300,8,,,,,,,,,,500,120,26,,,,,
Mo(110),610,400,9,435,400,9,1000,400,9,,,,,,,,,,,
Mo(112),670,100,10,460,100,10,970,100,10,,,,,,,,,,,
Ni(111)*,585,,11,,,,,,,,,,,,,1170,955,80,,34
Ni(111),524,,12,,,,,,,,,,490,,27,,,,,
Pd(100),470,175,13,370,175,13,,,,,,,,,,,,105,500,35
Pd(111),485,30,14,,,,850,30,14,650,30,14,,,,1000,774,,,36
Pt(111),460,105,15,380,105,15,870,105,15,690,105,15,450,,28,903,,85,540,37
Ru(0001),556,1200,16,,,,,,,,,,516,460,29,1137,823,90,685,38
V(110),615,400,17,455,400,17,1025,400,17,,,,,,,,,,,
W(100),604,300,18,403,300,18,1008,300,18,742,300,18,524,105,30,1250,1008,300,483,39
W(112),693,100,19,486,100,19,1008,100,19,,,,,,,,,,,
W(211),660,,20,450,,20,1010,,20,,,,,,,,,,,
