Surface,Metal,Cut,O Exp,O freq,Error,%,H Exp,H freq,Error,N Exp,N freq,Error,,,,-0.175,,Bin,Frequency,Cumulative %
Ag(001),Ag,1,282,227,-55,-0.20,,,,,,,,,,-0.125,,-0.175,5,21.74%
Ag(110),Ag,110,325,261.0571601,-64,-0.20,838,524.8785879,,,,,,,,-0.075,,-0.125,1,26.09%
Ag(111),Ag,111,339,356.5706096,18,0.05,854,804.700626,,363,381.7394694,,,,,0.025,,-0.075,3,39.13%
Al(111),Al,111,545,520.3711757,-25,-0.05,,,,,,,,,,0.025,,0.025,10,82.61%
Au(111),Au,111,350,325.8019455,-24,-0.07,,,,,,,,,,0.075,,0.025,0,82.61%
Cr(100),Cr,100,545,375.8712611,-169,,,,,,,,,,,0.125,,0.075,4,100.00%
Cr(110),Cr,110,570,586.2085155,16,0.03,,,,,,,,,,0.175,,0.125,0,100.00%
Cr(111),Cr,111,580,,,,,,,535,,,,,,,,0.175,0,100.00%
Cu(100),Cu,100,339,362.3577958,23,0.07,,,,,,,,,,,,More,0,100.00%
Cu(100)*,Cu,100,287,,,,,,,324,,,,,,,,,,
Cu(110),Cu,110,403,328.9235901,-74,-0.18,940,653.1414978,,400,422.5770298,,,,,,,,,
Cu(111),Cu,111,,,,,1040,1036.689028,,403,519.4231239,,,,,,,,,
Fe(100),Fe,100,570,,,,,,,,,,,,,,,,,
Fe(110),Fe,110,500,468.1636775,-32,-0.06,,,,500,472.9049852,,,,,,,,,
Mo(110),Mo,110,610,526.5385515,-83,-0.14,,,,,,,,,,,,,,
Mo(112),Mo,112,670,,,,,,,,,,,,,,,,,
Ni(100),Ni,100,435,422.2477149,-13,-0.03,,,,,,,,,,,,,,
Ni(110),Ni,110,480,438.5670517,-41,-0.09,,,,,,,,,,,,,,
Ni(111)*,Ni,111,585,,,,1170,,,,,,,,,,,,,
Ni(111),Ni,111,524,534.9804502,11,0.02,,,,490,623.9152863,,,,,,,,,
Pd(100),Pd,100,470,330.4190136,-140,,,,,,,,,,,,,,,
Pd(111),Pd,111,485,441.1227267,-44,-0.09,1000,956.5747799,,,,,,,,,,,,
Pt(111),Pt,111,460,437.9942617,-22,-0.05,903,1049.152631,,450,503.3509271,,,,,,,,,
Rh(100),Rh,100,410,401.8189893,-8,-0.02,,,,,,,,,,,,,,
Rh(111),Rh,111,530,505.7413215,-24,-0.05,,,,,,,,,,,,,,
Ru(0001),Ru,1,556,,,0.00,1137,,,516,,,,,,,,,,
V(110),V(,110,615,567.4821957,-48,-0.08,,,,,,,,,,,,,,
W(100),W(,100,604,636.5437893,33,0.05,1250,1295.691911,,524,718.0830941,,,,,,,,,
W(112),W(,112,693,,,,,,,,,,,,,,,,,
W(211),W(,211,660,,,,,,,,,,,,,,,,,
,,,,,average pe,-0.05,,,,,,,,,,,,,,
